pt,sl,vertical_bars,prob_threshold,prob_gap,n_trades,total_return_pct,sharpe,sortino,max_drawdown_pct,win_rate_pct,payoff_ratio,profit_factor
0.02,0.02,30,0.4,0.2,263,363.34202904437234,35.632,75.329,-25.5,68.8,1.042,2.3
0.02,0.02,30,0.5,0.2,116,105.14691947427809,34.925,100.133,-25.61,69.0,0.98,2.178
0.02,0.02,30,0.5,0.1,125,109.1986096400372,33.314,98.835,-26.64,68.8,0.955,2.106
0.02,0.02,30,0.45,0.2,197,200.09252636530698,33.213,77.109,-22.85,68.5,0.99,2.155
0.02,0.02,50,0.45,0.2,298,275.92668043391916,24.5,81.886,-24.64,63.4,0.99,1.716
0.02,0.02,50,0.5,0.2,240,187.96979832098611,24.476,80.833,-24.64,63.7,0.976,1.717
0.02,0.02,30,0.45,0.1,247,176.2455625214127,23.878,61.679,-28.83,64.4,0.96,1.735
0.02,0.02,50,0.4,0.2,386,405.75535003846124,23.475,72.799,-24.64,63.0,0.991,1.685
0.03,0.02,30,0.45,0.2,174,113.8928015086068,23.002,64.546,-26.25,61.5,1.108,1.769
0.02,0.02,30,0.4,0.1,464,469.2945764853653,22.163,51.627,-36.17,62.3,1.017,1.679
0.02,0.02,50,0.5,0.1,296,223.09892034570316,21.832,77.129,-27.09,62.5,0.972,1.619
0.03,0.02,30,0.45,0.1,179,103.20654705768075,20.732,59.73,-27.72,60.3,1.097,1.669
0.015,0.02,30,0.5,0.1,274,135.3128888990247,19.984,56.225,-27.26,67.2,0.765,1.564
0.015,0.02,30,0.45,0.2,538,378.4554281457187,18.614,45.494,-37.05,65.6,0.797,1.522
0.015,0.02,30,0.5,0.2,255,107.99122369381995,18.288,53.613,-27.31,66.3,0.765,1.504
0.03,0.02,30,0.5,0.1,106,45.0491553829387,17.623,51.952,-21.58,56.6,1.185,1.545
0.03,0.02,30,0.5,0.2,105,40.82442270188223,16.503,48.469,-21.58,56.2,1.172,1.504
0.03,0.02,30,0.4,0.2,395,219.90935688412864,16.099,38.821,-36.17,52.7,1.359,1.512
0.015,0.02,30,0.4,0.2,830,679.8801774863009,16.001,38.331,-38.98,64.7,0.785,1.438
0.03,0.02,30,0.4,0.1,406,206.07015684438284,15.022,36.658,-37.44,52.2,1.344,1.469
0.02,0.02,50,0.45,0.1,631,443.23326111434324,14.919,48.587,-54.16,58.6,0.985,1.396
0.015,0.02,30,0.45,0.1,709,241.35754533854262,11.03,27.608,-66.23,62.1,0.785,1.284
0.03,0.02,50,0.5,0.2,291,89.15141134991653,11.004,39.016,-45.62,50.9,1.253,1.297
0.03,0.02,50,0.5,0.1,305,83.39417183977883,10.092,35.411,-50.37,50.2,1.261,1.269
0.03,0.02,50,0.45,0.2,640,155.97835385805726,7.82,25.62,-57.42,48.6,1.274,1.205
0.03,0.02,50,0.45,0.1,688,128.75193645739222,6.594,21.504,-63.19,47.8,1.277,1.17
0.02,0.02,50,0.4,0.1,1263,279.8512152102595,6.423,20.26,-83.33,54.2,0.979,1.156
0.03,0.02,50,0.4,0.2,1270,152.9313496626263,4.417,13.685,-77.36,45.9,1.31,1.112
0.015,0.02,50,0.5,0.2,1080,92.43435941980994,4.311,14.498,-73.32,58.5,0.78,1.1
0.015,0.02,30,0.4,0.1,1716,138.0859546768914,3.753,8.427,-87.41,57.5,0.806,1.091
0.015,0.02,50,0.4,0.2,1634,122.49797534486034,3.696,9.709,-74.71,58.0,0.789,1.087
0.015,0.02,50,0.45,0.2,1442,88.26933500107113,3.369,9.516,-74.7,57.6,0.793,1.078
0.03,0.02,50,0.4,0.1,1528,109.2900778532262,3.256,10.432,-87.25,45.1,1.316,1.081
0.015,0.02,50,0.5,0.1,1350,72.79210720899808,3.14,10.832,-84.02,58.0,0.776,1.072
0.015,0.02,50,0.4,0.1,4724,325.028186347963,2.573,5.642,-96.96,55.7,0.843,1.061
0.015,0.02,50,0.45,0.1,2634,31.9665508438963,1.322,3.557,-93.54,56.2,0.803,1.03
0.015,0.01,50,0.4,0.1,41772,-99.68047221344467,-0.681,-2.663,-100.0,42.8,1.317,0.984
0.03,0.01,50,0.4,0.2,45337,-99.97171939169866,-0.698,-3.176,-100.0,38.3,1.584,0.982
0.03,0.01,50,0.4,0.1,45351,-99.97543133995565,-0.72,-3.277,-100.0,38.3,1.584,0.981
0.02,0.01,50,0.4,0.2,44505,-99.92669152406977,-0.733,-3.069,-100.0,40.0,1.471,0.982
0.02,0.01,50,0.4,0.1,45049,-99.94166570958888,-0.757,-3.174,-100.0,40.0,1.471,0.982
0.015,0.01,30,0.5,0.1,3484,-44.08884314510837,-0.86,-3.76,-76.44,41.3,1.393,0.98
0.015,0.01,30,0.5,0.2,3028,-40.80926777940108,-0.924,-3.885,-77.53,41.3,1.389,0.979
0.02,0.01,30,0.5,0.2,4329,-62.696020400912914,-1.13,-5.471,-87.35,37.8,1.6,0.973
0.03,0.01,50,0.45,0.2,40395,-99.99695812945497,-1.233,-5.814,-100.0,37.6,1.608,0.969
0.03,0.01,50,0.45,0.1,40409,-99.99735738770103,-1.257,-5.93,-100.0,37.6,1.608,0.968
0.02,0.01,30,0.5,0.1,4358,-66.82337819508965,-1.322,-6.421,-87.6,37.7,1.598,0.969
0.02,0.01,50,0.45,0.2,38026,-99.99025983682523,-1.343,-5.887,-100.0,39.3,1.498,0.968
0.02,0.01,50,0.45,0.1,38258,-99.9948480206398,-1.46,-6.423,-100.0,39.2,1.498,0.965
0.015,0.01,50,0.45,0.1,33048,-99.9755164717811,-1.632,-6.816,-100.0,41.9,1.334,0.963
0.015,0.01,30,0.45,0.1,8881,-95.16096619277376,-2.465,-9.305,-97.35,41.8,1.313,0.944
0.015,0.01,30,0.45,0.2,6988,-92.42575236659178,-2.756,-9.971,-95.85,41.8,1.304,0.937
0.03,0.01,30,0.5,0.2,5041,-91.86788676684895,-2.76,-14.511,-95.54,35.1,1.724,0.931
0.03,0.01,30,0.5,0.1,5042,-91.94920789918045,-2.773,-14.581,-95.59,35.0,1.724,0.93
0.02,0.01,30,0.45,0.2,10644,-98.83164486704295,-2.812,-11.357,-99.31,39.2,1.449,0.933
0.02,0.01,30,0.45,0.1,10752,-99.17902366609897,-3.04,-12.341,-99.51,39.1,1.449,0.928
0.015,0.01,50,0.4,0.2,18029,-99.95845227180428,-3.234,-12.507,-100.0,40.8,1.347,0.928
0.015,0.01,30,0.4,0.1,19726,-99.96959554902132,-3.249,-10.804,-99.99,42.5,1.251,0.926
0.02,0.01,30,0.4,0.2,21815,-99.9950833193947,-3.34,-11.728,-100.0,40.5,1.351,0.92
0.02,0.01,30,0.4,0.1,21981,-99.99620644954548,-3.404,-12.008,-100.0,40.5,1.352,0.919
0.03,0.01,30,0.4,0.2,23116,-99.99930274644315,-3.488,-13.071,-100.0,39.1,1.417,0.912
0.03,0.01,30,0.4,0.1,23125,-99.99935617330753,-3.514,-13.169,-100.0,39.1,1.417,0.911
0.015,0.01,50,0.5,0.1,14847,-99.95774498046866,-3.869,-17.828,-100.0,40.3,1.358,0.915
0.02,0.01,50,0.5,0.2,20880,-99.99943181477154,-3.879,-18.694,-100.0,37.1,1.544,0.911
0.015,0.01,50,0.45,0.2,16816,-99.983003222167,-3.935,-15.743,-100.0,40.3,1.351,0.913
0.02,0.01,50,0.5,0.1,21006,-99.99963162752744,-4.011,-19.385,-100.0,37.0,1.545,0.908
0.03,0.01,50,0.5,0.2,26785,-99.9999980654444,-4.066,-20.821,-100.0,35.4,1.644,0.901
